bathrooms,description,price per accommodates,price,bedrooms,longitude,price per bedroom,neighbourhood,bed_type,accommodates,url,latitude,room_type
,"Awesome double-occupancy suite with private jacuzzi tub, queen-size bed and access to the rest of this lovely residence in Capitol Hill.In a very laidback, lifestyle-friendly, landlord-occupied house-to-share, you'll enjoy relaxing with a glass of wine on the main floor and light conversation--or a game of tug-o-war with our dog, Chuck E--or you can quietly relax on the back patio and then escape to the total privacy of your room. The main floor is awesome and includes a baby grand piano, surround sound seating, and plenty of nooks to sit and read or do computer work. You can also use the nicely appointed kitchen or hang out downstairs in our cozy new Pub.Location: Capitol Hill NE, one block from major DC Metro Bus lines and about nine blocks from each of two major DC Metro Rail Stations (Union Station and Eastern Market). Both bus lines have stops at either Metro Station and cab fare is not that bad to anywhere in the city. Stroll to the US Capitol diagonally down Maryland Ave (less than 1 mile) or meander to observe the unique architecture and the gardens of homes on Capitol Hill. Venture out to the hot new H Street Atlas District for DC's most up-and-coming eclectic neighborhood, which is only two blocks away but insolated from the bustle.Sheets, towels, and light snacks provided. A small fridge--mini-bar-style--is in the room and a TV with Direct TV premium channels. Wireless Internet also includedExtra! Extra! Please check out our other listings in the same house! It's fun to have multiple guests to make it feel like a ""Real BNB!""",35.5,71,1,-76.9944235867702,71.0,898,Real Bed,2,https://www.airbnb.co.uk/rooms/1165468,38.89831615697286,Private room
,"This spacious (850 sq feet) one bedroom sits in the heart of downtown Washington. In the shadows of Georgetown Law's Capitol Hill campus, it's a 10 minute walk 10 the Capitol, a 10 minute walk to the heart of Chinatown at 7 & H, and a 15 minute walk to the central business district around Metro Center. There's a 24 hour supermarket around the corner along with a few local restaurants, a sandwich shop, a Chipotle, and a salad shop. The apartment has a full kitchen (not brand new appliances to be sure, but everything works great), a bathroom with a washer dryer, cable, and WiFi. The building is very quiet and has 24 hour security.The Mount Vernon neighborhood is going through an exciting period of change and redevelopment. New restaurants are opening all of the time (there are three at the end of the block including Korean BBQ, sushi, and a modern American bistro). There's also a 24 hour supermarket (as mentioned above), a few fast food places, and a Starbucks less than 2 blocks away. Beyond the immediate range of the Mount Vernon neighborhood, the Chinatown/Gallery Place neighborhood is less than 10 minutes away on foot and it has dozens of exciting restaurants, the Verizon Center (DC's largest live sports venue), and a huge movie theater/cinema. 10 minutes in the other direction is the Capitol Hill neighborhood with tons of small restaurants, coffee shops, and inviting dog parks.",16.5,66,1,-77.01461230257367,66.0,862,Real Bed,4,https://www.airbnb.co.uk/rooms/790002,38.902057069340756,Entire home/flat
,"Large, clean, bedroom with full bed and shared bath. This is the original master bedroom of a traditional DC rowhouse. The house is cozy as a cottage with an eclectic mix of antique and foreign furniture and decorations, features heart pine floors throughout and a footed tub with Italian marble in the bathroom. There is both a front porch and back garden that you are welcome to relax in. The room comes with free WiFi, a closet, dresser, hair dryer, iron (and, of course, sheets and towels) and the use of the washer/dryer. I also have a housekeeper who comes every two weeks. I am an urban planner focusing on bicycle and pedestrian infrastructure and renovated most of the house myself. I am happy to provide you with maps and information about the city and will join you for a glass of evening wine on the porch or give you your privacy, as you prefer. I have two cats – one friendlier than the other- who are truly entertaining. The neighborhood: My home is located in the Edgewood neighborhood of DC. Upon first blush, most people see it as quite rough around the edges, but the business owners and neighbors are all very friendly. The neighborhood was once the estate of Salmon P. Chase: statesman, abolitionist and jurist. The neighborhood arose with the establishment of the Metropolitan Branch Line of the C&O Railroad in 1873. This line now includes the Metropolitan Branch Trail (a biking and walking trail) and the red line of the metro (subway). Within a few blocks are grocery stores, dry cleaners, drug stores, etc. A 15-min walk takes to you the heart of Bloomingdale, where you will find great places to eat, a yoga studio, and a thriving farmer’s market during the summer and fall. Getting around: Edgewood is only 1.5 miles from Union Station and downtown DC – about a 30 minute walk. DC is a wonderful place to walk and most things are within a pleasant walking distance. Metro (subway): Rhode Island Ave metro station (red line) is an 8 minute walk. Trains run every 3-6 minutes. Bus: the G8 (to Chinatown and Dupont area) the D8 (to Union Station/the Mall) pick up at my corner. Buses run every 10 minutes at rush hour during the week. Bike: the Met Branch Trail will take you to Union Station/the Mall. You can rent ""Capital BikeShare"" bikes by the hour. Pick up two blocks away. Car-sharing: Zip cars are located nearby and a CarToGo is usually located in the neighborhood. On street parking is available (though vehicles must be moved on street-sweeping days). Private parking is available for an additional $10 per day.Other than general respectfulness, some simple rules:1. Please provide names of all guests.2. On the weekend, check-in after 2 pm & Check-out before 11 am. During the week, due to my work schedule, I can typically only check in guests before 9am or after 6pm (sorry).3. No parties or outside overnight guests (other than pre-approved guests).4. No smoking in the house.",22.5,45,1,-77.001747,45.0,1295,Real Bed,2,https://www.airbnb.co.uk/rooms/748346,38.920807,Private room
,"Choosing to save money shouldn't mean sacrificing quality or service. Let us partner with you on your trip and we'll provide you with all three!Welcome to Washington! Awaiting you after your journey is a well appointed 2 level Condo that sits on a quiet residential street in the Shaw/Eckington neighborhood of D.C. Let us know when you plan to arrive, as we would love to be there to greet you! Or, if you prefer, we can email you all the instructions & access codes needed to gain entry once you've booked.There is an available 'Residential Parking' pass provided to you at no additional cost. However, parking around town is expensive ... the best way to afford-ably experience D.C. is through the use of Metro Bus/Rail. Another increasingly popular options is the Capital Bike Rental Stations (an account is easily set up online) which are positioned at various locations all over the city. All the aforementioned options are within just a few blocks of the residence.Many of your travel 'hassles' have been removed through our complimentary ""Guest Information Book"". Yours to use but, not to keep (if you really like it we'll email you a copy) It is a personal compilation of all the 'Best' D.C. has to offer! First, there's a map provided for your convenience (the map is yours to keep so, feel free to mark it up!). Setting out without one makes for a 'bad day'. Also inside you'll find listings of fine dining restaurants, museums, live theater, and many other attractions & events.Once you return from the days activities, you'll find a beautiful eat in kitchen that has all the basics you'd need to whip up your favorite recipes. Too, tired? Don't worry, inside the 'Guest Information Book' we've provided menus for a variety of local carry-outs who also, deliver!The residence offers 2 bedrooms with a Queen and King size bed respectively. The best way to describe the mattresses are, ""A great nights sleep""! They truly are comfortable. Also, provided are Flat-Screen HDTV for catching up on news, weather & sports. Of-course, there's free cable & high speed internet (wifi) included. Did you bring your favorite music? You'll find an iHome iPod charger/player In each of the bedrooms, perfect when you want to De-stress and just relax.Spa style towels are provided but, you'll need to bring your own toiletries. With beautiful vanities & showers, there's a unique feel to the start and end of each day. Hair dryers are on premises. We hope you enjoy your stay with us.",23.0,138,2,-77.0121,69.0,1091,Real Bed,6,https://www.airbnb.co.uk/rooms/394501,38.910206,Entire home/flat
,"Private room with queen bed, fully furnished. NON SMOKING, but there is a patio (with grill).Shared bath, kitchen, living room, etc. Modern styling, clean with regular maid service (alternate Thursdays).I work normal office hours and in many cases I'll be out of town, so you would probably have the whole space to yourself, (with the exception of my bedroom.)Excellent central location - Whole Foods, CVS (24-hour), 7-11 (24-hour), Starbucks/Carribou, 14th St. restaurants, bikeshare - all across the street or on same block. Walking distance to U St., Dupont, Chinatown, Adams Morgan.Walk to White House, downtown, and Green/Red/Orange/Blue metro lines. Bus stop and Circulator stops within feet from apartment.I'm a single bachelor and my place has many amennities. I require at least one verification (website hidden)or LKdIn).",32.0,64,1,-77.03189418594305,64.0,502,Real Bed,2,https://www.airbnb.co.uk/rooms/813407,38.90919033079241,Private room
,"Beautiful one-bedroom with queen-size bed and private in-room bathroom located in renovated modern brick rowhouse in Glover Park. We also have a queen size air mattress (or 2 twin air mattresses) that fit in the family room downstairs so you can bring your family to DC as well. We are located just north of Georgetown and minutes away from many of Washington, DC's amazing historic sites. Glover Park is a quiet, safe neighborhood with lots of dogs, kids, and people of all ages. The queen bedroom includes a closet for your use, and a desk with two chairs. If you're interested in using the air mattress in the family room, there is a private bathroom with sink and toilet for your use.We offer wireless Internet, off-street parking with a free visitor parking permit, and a front porch and deck to enjoy the morning and afternoon sunshine. You also have access to our family room where you can hang out and watch cable TV. We'll provide you with maps of DC and brochures of lots of local attractions, and help guide you to where you want to go. We're here to make sure you have a wonderful time in Washington -- it's a great city to visit. We're comfortable chatting with you, or giving you your space, whatever you prefer.A delicious continental breakfast with fresh-brewed coffee and/or tea is also included.A bus stop at the end of the block takes you directly to the Dupont Circle subway in 15 minutes which gives you easy access to DC, Maryland, and Virginia. A Capital Bikeshare (rental bicycles) docking station is located at the end of the block too. You can bike from our house to the White House in 30 minutes. You can walk from the house to many restaurants, bars, Starbucks, Whole Foods, and a drug store just a few blocks away. The National Cathedral is a 15-minute walk away too.",15.5,62,2,-77.07623962260993,31.0,1015,Real Bed,4,https://www.airbnb.co.uk/rooms/808830,38.92124001758047,Private room
,"*Price online now includes 14.5% Washington, DC Lodging Tax.**See special discounts for August.*We have a 600-sq-foot, 1-br furnished, English basement apartment on Capitol Hill (Eastern Market) in Washington, DC. It has its own ingress (front door) and egress (back door) and is located beneath our Capitol Hill rowhome. We're a family of five: two adults and our three recently-adopted foster children, ages 3, 4, and 7. As we live above the apartment, you will hear us -- and we will likely hear you. It is city-living! (Our story was highlighted in Aug. 2012 in The Washington Post.)We're situated on a residential street that mixes city-life with residential-life. We're less than 1 block from the Eastern Market Metro (you can see it from the front door!), and 1-4 blocks from numerous restaurants, bars, coffeeshops, etc. (on Pennsylvania Ave., SE as well as 8th Street SE, aka ""Barracks Row""). We're 7 blocks from the US Capitol and the Library of Congress; about 6 blocks from the Washington Navy Yard (ask about the 10% Active Duty / Retired Military discount we offer); about 12 blocks from Nationals Stadium; and about 9 blocks from the Folger Shakespeare Library. The National Mall (Smithsonian Museums) is easily accessible: it's either 4 Metro stops away (exiting at Smithsonian Station), or hopping on any 30s bus (our favorite).This apartment has a Walk Score® of 91/100, Walkers' Paradise. See Airbnb pictures of Capitol Hill here: https://www.airbnb.com/locations/washington-dc/capitol-hillCapitol Hill really only has one hotel in this area: Capitol Hill Hotel. Check its prices to determine whether our apartment would be a good deal for you. (Interestingly, if you visit the website of that hotel, one of the pictures that it prominently displays on its website is a string of about 6 homes on our block -- the pink one on the far left is ours!)Parking would be on-street parking but generally we're always able to find a spot on our block. If you request it, we can provide you a visitor's parking pass that will allow you to park without fear of being ticketed/towed. Our neighborhood in particular has quite restrictive parking restrictions unless you live here or have the aforementioned visitor's parking pass.Additional perks that you'll find:*fully-stocked kitchen -- cut your dining-out costs by cooking at home!*coffee maker, coffee grinder, and French press; we just added a new Keurig K-cup coffee maker!*washer/dryer*iron and ironing board*cable television (29"") with DVD player, including Roku to watch streaming movies from Netflix*wireless Internet*some snacks provided*some toiletries provided in case you forget yours!*speaker set (with radio) for your iPhone*iPhone, iPad and phone charging stationOur house (not this apartment) generates 68% of the house's energy through the 14 solar panels on our roof (one of the first solar installations on Capitol Hill!). The apartment has CFLs, a dual-flush toilet, Pella windows, and a Nest Learning Thermostat. Additionally, the electricity is sourced from local wind farms through Clean Currents. We're in the process of slowly phasing out our regular cleaning supplies for more environmentally-friendly products. Additionally, as DC can be hot and sticky and swampy in the summer, we have a mosquito service that comes every two weeks to spray for mosquitoes in our front yard and our back yard. We have the ""natural"" treatment which consists of a garlic-based product that is safe for animals, kids, and plants. For grocery stores, there is a 1) Yes Organic Market 2 blocks away; 2) Harris Teeter 7 blocks away; and 3) Safeway 10 blocks away. CVS, Starbucks, and Dunkin' Donuts are all within a 2-minute walk.The apartment can conceivably sleep 6 people (but it's probably best for 4 or fewer): 2 on the full/double bed in the bedroom; 2 on the full/double pull-out sofa in the living room; and 2 on the queen blow-up air mattress (which would be set up in the living room). We also have a crib and a pack-and-play available if requested.Pets are allowed; the cleaning fee doubles, however. No smoking or incense, please.When you make your reservation, I'll provide you online access to our detailed, 28-page ""Tips & Tricks"" book. You'll also have a hardcopy of this available upon check-in. We provide not only information about your reservation (e.g., checking in, checking out, using the Internet, streaming movies from Netflix, etc.), but also local attractions, restaurants, and cool, interesting local things to do. (Quite a few things tourists would never stumble upon!)For each person over 5 years old in your party we'll provide you a Metro SmarTrip card with a few bucks on it. This will a) save you the time of having to purchase paper farecards; and b) save you the $1/trip paper farecard surcharge. (If you're arriving by plane at Reagan Airport and you expect to take the Metro to our apartment, I can mail the Metro cards to you in advance if that is helpful.)Bonus #1: You'll have unlimited 29-minute bike rides on the Capital Bikeshare bike-sharing program (there's a station directly across the street). We'll even throw in $5 free if you accidentally go above the 29-minute rides (and we get charged). (Tip: Plot your route so that you check-in your bike before 29 minutes... and then check-out the same bike and start again!)Bonus #2: If you happen to be in the apartment on a Saturday or a Sunday, enjoy home delivery of The Washington Post.Bonus #3: If you stay 6 nights or longer, we'll give you the option of allowing our cleaning lady to do a cleaning session on the apartment, if you choose, free of charge for you.***If you see an opening in the immediate future, feel free to offer a reasonable rate and we can discuss.***",20.666666666666668,124,1,-76.995888,124.0,898,Real Bed,6,https://www.airbnb.co.uk/rooms/409582,38.883354,Entire home/flat
,"Hello all! Welcome to your new home in DC.Perfect location--right in the middle between Dupont Circle and Georgetown! Nightlife, shopping, restaurants, business, tourist sites, everything--just minutes from your home in DC!Spectacular 1 bedroom and 1 bathroom suite with queen bed in the bedroom and a pull-out sofa for second queen bed if necessary (APARTMENT EASILY SLEEPS FOUR!) also includes a full bathroom, full kitchen with full sized appliances, and full sized laundry (washer and dryer).Seriously--SO close to everything!- Coffee shops--1 block--3 minute walk- Restaurants--1 block--3 minute walk- Dupont Circle--3 blocks--6 minute walk- Metro (SUBWAY)--3 blocks--6 minute walk- White House--11 blocks--20 minute walk- Lincoln Memorial--12 blocks--24 minute walk- Georgetown--6 blocks--12 minute walk- Tourist sites on the Mall--12 blocks--24 minute walk- Drug store/pharmacy--3 blocks--6 minute walkYou get all to yourself an entire 800 Sq Ft (74 Sq Meters) one bedroom and one bath apartment. Two separate entrances at the front and the rear of the house give you complete privacy. Big living room/dining room! Full kitchen with dishwasher, refrigerator, oven/cooktop, and microwave. Your own laundry washer and dryer too! Beautiful 42"" flat panel TV with full satellite feed and recording capabilities!EVERYTHING you need!- Luxurious bedding- LOTS of roomy closets- Satellite flat panel TV with recording!- Wireless high-speed internet- Plenty of electricity outlets- YOUR OWN LAUNDRY!- FULLY LOADED KITCHEN (pots, pans, glasses, plates, everything!)- Iron and ironing board and access to a clothes steamer- iPhone charger- HairdryerWork or play, your home in DC is central and convenient to absolutely EVERYTHING! An unheard of perfect WalkScore of 100!! Wake with a one block walk to the longest running local coffee shop, one of several local Starbucks, or even a specialty tea house. Three blocks takes you to the Dupont Circle Metro station (red line) and only six blocks to the Foggy Bottom station (blue and orange lines) so in as little as 5 minutes you are on a train anywhere in the city. A brief 20 minute walk to the White House, the Lincoln Memorial, the Smithsonian and the rest of the National Mall to fill your tourist desires, or walk to the Kennedy Center to see a show or the opera or Georgetown for shopping. For work, you can quickly walk to IMF or World Bank, any business on K St, Georgetown and Dupont, even downtown is only two Metro stops away.Take a run or walk in the famed Rock Creek Park only one block away. Or visit your local gym outlet in town with nearly every brand mere steps from your doorstep.Bars and clubs abound for every person from straight to gay, male to female. Restaurants catering to every taste and the entire alphabet are only a short walk away--fish, seafood, steak, vegetarian--Vietnamese, Chinese, Korean, Moroccan, PanAsian, Tapas, Greek, Mediterranean, Thai, Belgium, French, Spanish, Italian, New American, Southern, Mexican, BBQ, Brazilian, Burgers, Cajun, Dim Sum, Irish, Ethiopian, Indian, Sushi, Japanese, Malaysian, Peruvian, and Wine Bars. Or, a half block walk takes you to a small local grocery or even just a few blocks to two WholeFood's.Your hosts have done everything possible make your stay enjoyable and practical. A hairdryer, hangers for the closet, an iron, access to a clothes steamer, even an iPhone charger! Maps and local guidebooks are always provided to help you find your way. Long time resident owners and wireless internet will help you plan your day's activities.On-site parking can often be made available for $20 per day and family meals can often be available for an additional fee.Check-in is after 3pm and check-out is before 12noon, (we need time to clean your apartment to make your stay amazing) but we can often be flexible to work around your schedule or let you to drop your bags while you tour the city--just let us know.",28.5,114,1,-77.04845544706858,114.0,856,Real Bed,4,https://www.airbnb.co.uk/rooms/1092713,38.91120268453239,Entire home/flat
,"Private English Garden Apartment: Modern 1 bedroom CAPITOL HILL apartment with a private entrance. Accommodations: • Sleeps 4 • Private bedroom with a Queen bed • Queen size Sleeper sofa bed in the living room • Cotton sheets and comforters • Cotton bath towels • Clothes washer and dryer • Fully appointed kitchen with a full size refrigerator with automatic ice machine, oven/range, microwave, dishwasher, toaster, coffee maker, dishes, glasses & cook ware. • Ironing board + iron • Hair dryer • Wireless internet • 42” Flat Screen TV-LED• DIrect TV• Central AC / Radiant floor heat (winter months)• NON SMOKING • No Pets GREAT Location: • Fabulously centrally located on Capitol Hill. • It's an easy walk to the (5 blocks)Eastern Market metro (blue-orange line) & (1 block) Potomac metro (blue-orange line), • The US Capitol,the Smithsonian museums, historic Eastern Market, & Barracks Row. • Dine in or dine out. Stroll to SCORES of choice restaurants & pubs ($->$$$) and the popular H Street Atlas District. • Close to many neighborhood markets for a quick grocery and wine run. One block to Harris Teeter Grocery• The location has walk score of 85 and transit score of 81. Transportation: • Five blocks to Eastern Market metro (blue-orange line) & one block Potomac metro (blue-orange line). • One block from a Capitol Bike Share. • One block from a DC metro bus route. • AMTRAK, the MARC Train & the MEGA BUS & the BOLT BUS run from Union Station • Street parking is plentiful in the neighborhood. **I will provide a parking pass if you have a car and plan on staying for a while. Parking restrictions are in effect Monday through Saturday.Not shared space-full separate apartment- very typical DC Row house) Penn House on the Hill is new to AirBnB. Full use of a private and separate 1 bedroom, 1 bathroom fully furnished and equipped apartment just one block from the blue and orange line metro and grocery store and within a quick 5 block walk (approx 10 minute walk) to Eastern Market, award winning restaurants, bars, and parks. The apartment is a 2 metro stop or a leisurely 15-20 minute walk to the US Capitol, the Supreme Court, the Library of Congress, and the National Botanical Gardens. Additionally, it is located in walking distance to The Yards Park and the National's Stadium. The Smithsonian and the most of the DC monuments are within 4-6 metro stops on the same metro line (blue and orange).Apartment details: This is a separate 1BR, 1BA English garden apartment with its own private shared back patio. Inviting, serene, renovated and spacious with all the amenities that you need for your stay: fully equipped kitchen, flat screen TV with Direct TV in the living room, washer and dryer, and a combined dining area. The apartment features a bedroom that has a queen size bed and a queen size pull out couch, seasonally heated travertine floors , tasteful decor, upscale linens, and a festive, inviting, shared outdoor space. Open, spacious and airy layout- the perfect place to return to after a busy day soaking in the city. Off street parking is available for no additional cost.Fun Stuff: We are only 1 block away from Capitol Bike Share - it's a fun and easy way to get around DC - and available for daily rentals at $7 a day. Very popular with locals and tourists alike. We also have multiple zip cars with in a 1-2 block radius. The Yards Park is a great place to play and picnic and is not well known among tourists. It hosts weekly outdoor movies (on Thursdays) in the summer and weekly (on Fridays) live music events from May - August. Eastern Market is a famous institution. It is open 6 days a week as a historic market that hosts a baker, a fishmonger, a butcher, a florist, a grocer among other shops, but on the weekends, it hosts an outdoor farmers market, a huge flea market, and an artist's market - an amazing place to explore, people watch, and venue to discover great finds, great foods, and great non-traditional souvenirs and gifts. We are also within biking, jogging, metro, or walking distance from the award winning Results Gym, Capitol Hill that is in a converted historic school. If you want to keep your workout routine while on vacation or on an extended stay, access can be arranged at cost. Each day visit there is $15. The gym has multiple classes, award winning locker rooms with dry and wet sauna and jacuzzi, a rock-climbing wall, extensive free weights and machines, and basket ball and racket ball courts.Disclosure: A family lives in the unit above and though well insulated, some noise is audible between floors (not voices or music but heavy footsteps). Metro access is so easy, Regan International Airport - a fast cab ride or metro ride away, but parking is contentious. Off street parking can be arranged at no additional cost. We are perfectly located for a unique and fun visit to our nation's capital!Welcome to our nations Capitol! Enjoy- Desiree",21.0,84,1,-76.98742954462519,84.0,898,Real Bed,4,https://www.airbnb.co.uk/rooms/525672,38.88091500069402,Entire home/flat
,"Great Location at a Great Price - Don't Spend Your Time in DC Stuck in Transport! Blocks from the Capitol, National Mall, many Memorials, and the Smithsonian in a safe neighborhood. 2 bedroom rowhouse - with king and queen beds, an inflatable mattress, and a big sectional couch within 3 blocks of L'enfant Plaza, Federal Center SW, and Waterfront Metro Stations. 10 min Taxi from the airport. 5 minutes from the Interstate. Starbucks are within a few blocks in every direction and Safeway is 2 blocks away as well. A few restaurants and fast-food in the neighborhood, head out, or stay in and make use of the kitchen! Private parking available. Access to gym, wireless internet, 42"" TV. Backyard opens onto largest private park in SW. I've lived in DC off and on for 15 years (even used to work as a tour guide and support visits by Constituents when I worked on the Hill back in the day). There is much about the city I don't know (I do have friends who can help), but I can help think through a great visit, whether it is how to make the best of your Conference or a vacation. Feel free to ask any questions!.",21.166666666666668,127,2,-77.01721792705776,63.5,899,Real Bed,6,https://www.airbnb.co.uk/rooms/866197,38.88279702697721,Entire home/flat
,"This modern and very well located apartment is ideal for business travelers or for short-term visitors needing a central location. The apartment is in downtown DC. 4 blocks to Convention Center, Chinatown and Mount Vernon metro station (Green and Yellow lines). Very close to multiple transportation options (Green/Yellow Metro, Zipcars, Capitol Bike Share Stations nearby), and 7 stops to DCA/Reagan National Airport. 5 minute walk to many restaurants and bars. Also 4 blocks to a 24 hour Safeway Food Store. Very safe area. The room is equipped with a queen size bed that sleeps two. There are sheets and duvet covers that will ensure you sleep comfortably. You will also have a full private bathroom stocked with towels. The apartment features a big couch, skylights, central heat/AC, full size brand new washer and dryer, hair dryer, closet with hangers, ironing board and iron. It also comes with WiFi, desk with a new flat-screeen TV. Full kitchen stocked with microwave, fridge, dishes, silverware, and glasses.On street parking is plentiful in the neighborhood. Please check availability on my calendar and don’t hesitate to send me any questions.",32.0,64,1,-77.016296,64.0,862,Real Bed,2,https://www.airbnb.co.uk/rooms/978416,38.906994,Private room
,"Getting AroundConveniently situated just 0.3 miles/~500 meters from the Stadium Armory Metro station (blue/orange), my address puts you within a short drive/subway/bus ride of all there is to see and do in DC. The D6 bus stops 1 block away and is a direct trip to and from Union Station. There is easy highway access to 295. At the Metro station, there are capitalbikeshare bikes available to rent.NearbyMy rowhome is located on a residential street in East Cap Hill in a neighborhood called Kingman Park which is located just east of H Street and its rapidly evolving nightlife scene. 1.2 miles from Eastern Market & 1 mile from H Street; both are neighborhoods where you can explore food, shopping & nightlife. The closest grocery store is 1 mile away.AccommodationsThe primary bedroom is a large, lovely room furnished with a memory foam queen bed. The second room is a small bedroom furnished with an air mattress. Parties of two may have the use of either, but not both, bedrooms. You may have use of the rest of the house, including the fully equipped kitchen.Amenities► queen size memory foam bed► separate air mattress► clean sheets, blankets & pillows► closet & storage space for your clothes & toiletries► fully equipped kitchen► bathroom with tub & shower► wireless internet access (through my mobile phone turned into a hotspot, so if I need to leave and take my phone, the internet access goes away, luckily, I work at home.)OtherGuests will have one set of keys.If you need parking, there are 2 tangent spaces behind my home.Keep in mind, this is not a hotel. If you you know how to be a considerate house guest, you are welcome here.",11.0,55,2,-76.97681544963642,27.5,1087,Real Bed,5,https://www.airbnb.co.uk/rooms/1397979,38.89395792403704,Private room
,"I've got a one bedroom place at 16th and U Street NW. This huge one-bedroom has 1,000 square feet to call your own. In addition to the fully outfitted kitchen, breakfast nook, comfy L-shaped couch, well-stocked bookshelf, and queen-size bed, the apartment also features roof and terrace access. Weather permitting; you've got to share a bottle of wine up there. You can also count on 50 MB/second Wi-Fi for you broadband intensive pleasure.Situated in the heart of the most exciting neighborhood in the District. Only a mile north of the White House, the apartment is close to everything that is worth doing.U Street boasts dozens of bars, restaurants, and shops - and caters to all tastes and wishes. From haute to classic and hipster oasis to yuppie nirvana, you’ll be well-fed and entertained. There's also a gym and Starbucks across the street for you caffeine dependent, exercise addicted visitors. We’ve also got two grocery stores, an Asian Market, and a Whole Foods if you want to cook. Should you want to explore, you’re walking distance to Dupont Circle, Logan, and Adams Morgan and three blocks to the Metro. There are five bus lines right off the doorstep, including ones the White House and Capitol Hill. Bikers will enjoy the bike share station located across the street.",29.333333333333332,88,1,-77.03845354370245,88.0,873,Real Bed,3,https://www.airbnb.co.uk/rooms/697990,38.91709972417664,Entire home/flat
,"Welcome to my flat in DC!About the apartment:This is a one bedroom apartment in the heart of Washington DC. The apartment boasts a fully equipped, updated kitchen with full sized microwave, stovetop, oven, refrigerator, dishwasher and plenty of cabinets. The apartment has plenty of natural light coming in since it is a corner unit looking out over the city. The living room has a full sized sofa and sofa bed and comfy full size futon. The living room also has a Flat screen LCD with Comcast cable and Wi-Fi internet. The Bedroom has a Queen sized bed, end tables with lamps and two modern storage drawer units. There is ample closet space and a washer and dryer inside the unit. The bathroom is large for a city apartment and has a full sized tub/shower and vanity. Sleeps 4 with two on queen bed and two pull out sofa. I provide my guests with the following:• Coffee Pot - Coffee and filters• Dishes, Glasses, Mugs, Wine Glasses • Flatware, Utensils, Knives • Can opener, Cork Screw • Kitchen Towels and dish cloths • Bath Towels, Hand Towels, Wash Cloths • Two sets of sheets, extra blankets, extra pillows • Hand soap• Dish detergent, Dishwasher detergent • Laundry detergent • Alarm clock • Iron, Ironing board and hangers • Paper TowelsAbout the Building:Hi-rise luxury apartment building located in the Penn Quarter/ Chinatown area. Secured entry, 24/7 Concierge, awesome rooftop views, rooftop lounge area , rooftop pool (heated), Jacuzzi, Business center and fitness room.The building has a Walk Score of 94! A walker’s paradise! (Do an internet search for walkscore)About the Area:The bustling Chinatown area is clean, safe and centrally located to make your trip to DC a pleasure! You can walk to almost anything you’d like to see or do while you are in town. The DC convention center less than three blocks away is the home to many large conventions, conferences, and expos all year long.The Verizon Center (just three blocks away) is home to the Washington Capitals, The Wizards, and the Magic. The Verizon Center also hosts numerous national acts, with shows, concerts and events.The newly developed H st. Atlas District ( walking distance ) is lined with hip new bars and restaurants and our traditional Chinatown attractions including Gallery Place, shopping, great restaurants and sightseeing.Directly across the street you will find Capital Bike share Kiosk. You can rent out a bike with the swipe of your card and ride all around. You can even return it to a different location see capitalbikeshare (website hidden) for more informationWalking distance to:One block to metro redline (Judiciary Square) Two blocks to metro (Chinatown/Gallery Place) CVS drugstore directly across the street Two blocks to Safeway Grocery Store The National Mall Smithsonian Museums National Monuments The US Capitol Georgetown Law School Over 50 restaurants Gallery PlacePlease contact me if you have any questions about the apartment or availability. I look forward to hosting you!",23.2,116,1,-77.01653027643249,116.0,897,Real Bed,5,https://www.airbnb.co.uk/rooms/536232,38.90061326439981,Entire home/flat
,"We live in 1908 rowhouse tha has a completely separate basement apartment in the hot area of Columbia Heights (CH) DC. The basement was renovated in 2011. The unit has 1 bedroom, 1 bathroom, a kitchen with stainless steel appliances and an island, a dining area, office area, a separate laundry room, flat panel HD TV, and front and rear entrances.We are located less than 6 blocks from the CH metro, the DC USA shopping center which includes a Target, Best Buy, Bed Bath and Beyond, Marshalls, and DSW. The Giant grocery store, banks, dry cleaners are 3 blocks away. We are about 3 blocks from the very hip 11th street restaurant row. We are even closer to many restaurants on 14th street. Please see my guidebook for more information about places in the area.We are also close to the Petworth metro. The CH and Petworth metros are off the green/yellow line which is the same line for Reagan National Airport, the National's Stadium, Chinatown, and L'Enfant Plaza.The apartment is spacious, fully furnished, and kitchen is fully equipped. It can comfortably accommodate 4 people (2 in the bedroom and 2 on an air mattress in the living room that we would provide). Throughout your stay you will have access to free Wi-fi and satellite TV.The apartment is professionally cleaned on a regular basis.Based on feedback, we recently added a wall unit AC to keep the air circulating.There is street parking. Speak Spanish and Urdu.",20.25,81,1,-77.03085411438354,81.0,867,Real Bed,4,https://www.airbnb.co.uk/rooms/1248757,38.93413276951753,Entire home/flat
