bed_type,bathrooms,description,latitude,price,bedrooms,room_type,longitude
Real Bed,2,"Why stay in a stuffy impersonal hotel room when you can stay in a beautiful, century-old fully renovated home in the heart of DC's hip historic 14th Street/Logan neighborhood? Featured in Washington's Best Addresses and listed on the National Register of Historic Places our home is spacious, with 10ft/3m ceilings, hardwood floors, and high quality furnishings. The large bay windows located in nearly every room let in plenty of natural light, and provide places to sit and relax while enjoying the gorgeous garden and mature trees. We are mere steps from a plethora of restaurants, bars, cafes, theaters, and music venues on 14th street. Our location has a Walkscore of 98 (Walker's Paradise) and a TransitScore of 90 (Riders Paradise). The place is best suited to solo or couple (same sex couples welcome). Although the unit has two bedrooms only one is available for guests.THE ROOM & PRIVATE BATHROOMThe large 14.5x13ft/4.4x4m bedroom is located on the garden side of the property overlooking a mature cherry tree. The room features a new full-sized bed, ample hanging space for your clothing, is air conditioned in summer, centrally heated in winter, and has a ceiling fan. All windows open fully and have insect screens. The mattress on the bed has been described by our visitors as providing the best sleep they've ever had. Your private bathroom contains a huge rain shower, vanity, storage cupboard and toilet, and is stocked with fluffy towels, body wash, shampoo, conditioner, and hair dryer.THE REST OF THE HOMEWhile staying with us you'll have access to the rest of our home. The living room with its 50 inch flat screen tv, Roku, bluray player, and cable tv channels. The library with hundreds of books you can borrow during your stay. The dining room and kitchen, containing everything you'll need. Apart from the usual kitchen appliances we also have a Sodastream machine, ice cream maker, rice cooker, Weber kettle grill and well-seasoned wok. An eco-friendly Bosch washer and dryer, along with ironing board and iron are also available for use. TECHFree wireless broadband internet is available during your stay as is an iHome docking station/alarm clock in your room and a smartphone/MP3 stereo docking station in the kitchen. LOCATION/TRANSPORTWe're located within an easy walk to White House (15 min), K Street (10 min), U Street (5 min), Adams Morgan (15 min), World Bank (20 min), National Mall, monuments, and museums (30 min), embassies, parks. It's a flat 7 minute walk to Dupont (red line) or U Street (yellow/green line) metro stations, and a 15 minute walk to Mc Pherson or Farragut West (orange/blue line) metro stations. Buses, taxis and a Capital Bikeshare station are located steps away at the corner of our block. Reagan airport (DCA) is 10 minutes by taxi, and 30 minutes by metro. And if you want to get out of town for the day, a large Zipcar lot is located a mere block away. A Whole Foods grocery store and a 24 hour CVS drug store are a five minute walk - we'll even lend you our shopping cart and recyclable shopping bags. There are also weekend Dupont Circle and U Street farmers markets nearby. And if you don't feel like cooking or eating at the many restaurants in the neighborhood, there are several nearby restaurants that offer take out or home delivered food. After all that food, if you need a workout and don't want to join the joggers running through the neighborhood nearby there are the Vida and Bodysmith gyms, and Flow Yoga. We also have secure bike storage if you bring along your own bike/s.PARKINGWhile it's definitely best to leave your car at home, if you do have a car, street parking can be challenging as one side of the street is designated for residents only and the other side has two hour parking restrictions which are strictly enforced 7am to midnight Monday through Saturday. If you bring your can definitely check out local blogs and/or online classified ads as many people in the area rent out their parking spots on a daily basis. WHAT ELSE?Whether you're here for work or play, we hope we can make your stay in the District more enjoyable. We're happy to provide you with access to maps and guide books, and recommendations for the our favorite coffee shops, places to eat, lowdown on museums, or venues to have fun. While we attempt to keep our calendar up to date with available nights we ask that you contact us first to ensure the room is not already booked or if you have further questions. We also ask that you ensure your AirBnb profile is completed and you are verified before attempting to book with us. Thanks!",38.912624,72,1,Private room,-77.032761
Real Bed,1,"Looking for a base while you explore all Washington, DC has to offer? Stay in your own historic 100+ year old private townhouse in the center of the city on a small tree-lined street, a great central location for your vacation or business travels in the nation's capital. Our neighborhood is primarily residential, but we do have some great Thai, Czech, Ethiopian, and other restaurants within a couple of blocks, and we are a 5-10 minute walk to the U Street and Logan Circle area restaurants, bars, nightlife, and sights. (You can learn more through our guidebook link here on our AirBnB listing.)If you feel like eating in, the kitchen is nicely stocked with all the staples you’ll need to make something at home. We also enjoy fondue and raclette, so feel free to help yourself to that equipment, and the backyard has a gas grill ready for your use along with seating/dining space if the weather is nice. Our 1500 square foot house offers three bedrooms, a well stocked playroom for your kids, ceiling fans, skylights, central heat/AC, full size washer and dryer, iron, hair dryer, WiFi, flat-screen TVs, and more. There is a double bed in the front bedroom, a double bed in the middle room (a very comfy Murphy bed -- a real bed -- surrounded by bookshelves), and our daughter's bunk beds (single bed on top and double on the bottom) in the third bedroom. We have a treadmill and other exercise equipment that you're welcome to use if you want to work out during your stay. As far as transportation goes, we’re centrally located in downtown DC, two and a half blocks from the Shaw Metro station on the Green and Yellow lines. There are Zipcar and Capitol Bike Share stations within two blocks, bike lanes directly off our street, plus easy highway access to I-395 and Route 50. Street parking is available on our block, and we provide a neighborhood visitor parking pass if you arrive by car.If you're traveling with kids we can offer plenty of tips for the most kid-friendly activities and sights in the city!Five guests are included in the rate. Guests beyond that are $40 additional per person/per night.PETSOur two dogs will be elsewhere during your stay (unless you would like them to stay with you and get a discounted rental rate). They are bichons--small dogs with very little dander and no shedding, etc. to worry about. Good for people with allergies (One of us is allergic to dogs and is fine with them.). Please coordinate in advance with us if you would like to bring your pet(s). The cost is an additional $15/night per dog. Please contact us if you have any questions.",38.911659,196,3,Entire home/flat,-77.018257
Real Bed,1,"Our lovely brick row house is split into two apartments. Come stay in the airy 2 bedroom apartment on our top floor. We live downstairs. A separate door goes from the entrance up to your space.We're just above a great nightlife strip - 11th Street NW, with several restaurants and fun bars like The Kangaroo Boxing Club and The Wonderland Ballroom right up the street. It's a short stroll to two Green Line Metro stations, grocery stores, and shops. Beautiful Rock Creek Park, U Street, Adams Morgan, and Mount Pleasant are all easily walkable, and there's a nearby bikeshare rack to boot.The apartment offers old-school DC charm and painted wood floors. There are two real bedrooms with full beds. Soft pillows, fluffy towels (... an alarm clock). The bath has a claw-foot tub/shower.You can enjoy the big bright living room, with an home theater projector that makes for a huge image. Think movie night. It's hooked up to cable TV and a stereo system. There's plenty of space to lay out a yoga mat, or feel free to strum a guitar or mess about on the 60's drum kit. For larger groups, the sofa pulls out into a queen-sized bed, and there's a nice air mattresses (charge for extra guests beyond 2).We've decorated with carpets from travels to Afghanistan, Asia and elsewhere, art, and modern accents - plus good books to read during downtime.If you like to cook, or want to have friends for dinner, there's a dining room and a galley kitchen with gas stove, microwave, refrigerator. Make smoothies, a souffle, or just toast and coffee. Out back, a rear deck overlooks our small urban homestead. Fresh herbs are right at hand. Honeybees buzz in a couple of top-bar hives. Our friendly cat, Batgirl, prowls the yard and loves people, but won't get in your space uninvited.",38.93365567967949,101,2,Entire home/flat,-77.026023900728
Real Bed,1,"This studio apartment is located in the heart of the DC metro area. Located just 2 blocks from Union Station (a major travel hub), the Capitol building, the Supreme Court and the National Mall, it is a prime location for those interested in seeing the city and experiencing the city life. The Capitol Hill community is also filled with everything from grocery stores to local resturants and bars within walking distance. The community is very close knit and is great for anyone visiting the area. Additionally, this apartment is very safe as it requires a key to get inside the apartment complex, as well as an additional key to get inside the apartment. The apartment is fully furnished, equipped with a 42 inch television, queen size bed, a fold out couch, central air conditioning, a fully equipped kitchen and full bath. Clean towels and sheets are also provided at the begining of each stay. Also I have orderd Xfinity Comcast internet for the apartment, so as of August 1st, 2013 guests should have no trouble connecting to the internet! I look forward to hosting your stay in Washington DC. If you have any questions please contact me through the airbnb website.",38.89333384066295,88,1,Entire home/flat,-77.00242657283468
Real Bed,1,"One bedroom apartment located approximately 6 blocks NE of the Capitol building.A first floor walk up, with full amenities. 8 minute walk to Union Station. 12-15 minute walk to Eastern Market. 5 minute walk to the Capitol Steps. 15-18 minute walk to the Mall.Apartment is located in Capitol Hill on one of the city's most serene beautiful city blocks. You will find countless restaurants on Pennsylvania Ave. or Massachusetts Ave. Bus lines can be found within a two block radius on East Capitol St. or make your way to the Orange or Red line Metro trains in minutes. The apartment is full of life and art. Enjoy!",38.891617,127,1,Entire home/flat,-76.999519
Real Bed,2,"In town for a convention? Looking for a base while you explore all DC has to offer? Be near everything in this brand new luxury, resort style building complete with spa.Located in the NOMA neighborhood adjacent to Union Station, the residence is steps away from everything you might need during your stay, including:Starbucks: In the buildingCVS Pharmacy: Across the streetHarris Teeter Grocery Store: Across the streetThe Metro's Red Line: Less than 1 block (45 seconds walking)Union Station: 3 Blocks (6 minutes walking)The U.S. Capitol and National Mall: 8 Blocks (14 minutes walking)The Convention Center: 8 Blocks (14 minutes walking)Chinatown/Gallery Place: 11 Blocks (20 minutes walking)The residence accommodates up to 6 comfortably. Two bedrooms, each with own baths, are furnished with king size beds. The third bedroom features a queen size mattress. The residence also features wi-fi, all linens, a fully stocked, large eat-in kitchen complete with stainless steel appliances, and living area complete with LED flat screen and home entertainment system--there's even a piano. Other conveniences include a washer and dryer in the unit. The residence is in a brand new, full amenity building adjacent to DC's Union Station and located less than a block from the Metro's Red line. It includes a full gym (not an abbreviated one often found in residential buildings) complete with a living wall, sauna facilities, media room (theater), and 2 music studios. Union Station and all forms of public transportation is only 3 blocks away and includes: the DC Metro, Amtrak, MARC and VRE Regional Commuter Lines, Mega Bus, Bolt Bus, Greyhound, the X2 bus line, and has an installation of the DC Bikeshare program. The residence includes a parking space in the building's garage. Getting anywhere from this apartment is not a problem.",38.905201,310,3,Entire home/flat,-77.00602
Real Bed,1,"Come stay in our beautiful and huge (750+ Sq Feet) one bedroom apartment blocks from trendy Adams Morgan and charming Mt. Pleasant (the best neighborhood you've never heard of)! The apartment has a huge and sunny bedroom with a full size bed, and two comfy couches, and one bathroom. We've also got a full-size air mattress if you'd prefer it to couches. We have a full kitchen with plenty of cooking (and baking) supplies and tools. We're half a block away from a Harris Teeter should you need groceries. We also have a projector that you can use for movies!We're within walking distance of tons of great restaurants (Ethiopian, Mexican, Italian, French, El Salvadoran, great pizza) coffee shops and bars. Plus, we're across the street from Meridian Hill Park, the city's best, and within walking distance of the National Zoo and Rock Creek Park.Convenient to 2 metros—Woodley Park (Red) and Columbia Heights (Yellow/Green)— as well as many, many buses (steps to the S lines that go straight to the White House!) Also within walking distance to Capital Bikeshare. Street parking is available in the area, though it can be hard to come by.The apartment includes wireless internet and laundry (free in basement). Clean towels and linens will be provided for you as well. No smoking, heavy partying or pets are permitted. Sorry!We love DC and would be more than happy to provide you with going out tips and other fun things to do. Hope to see you soon!PLEASE NOTE Calendar does not reflect availability. Please contact us before booking. Thanks!",38.923871085247534,95,1,Entire home/flat,-77.03689468926413
Real Bed,1,"Recently renovated former stable/carriage house (1861) in heart of Washington DC's most historic riverside neighborhood, Georgetown. This old Tudor house is 2 minute walk to the scenic Potomac River, and the corner of Wisconsin and M streets, both lined with diverse shops and fine restaurants. Tudor style exterior with unique religious accents, including stained glass windows, Virgin Mary shrine, panels of Koranic verse in walls, Russian icon (St Nicholas), and sundry objects from owner's 20+ years overseas. Large library and media center in main sitting room, adjoining courtyard for eating/grilling outside. Two indoor fireplaces. Dining room seats 8 on a large black granite table. Kitchen is cozy but fully modern, washer/dryer in basement. There are multiple cafes and coffee shops nearby, but you can make tea or coffee at home. I'll show you where everything is kept.Guest room looks onto garden of former home of JFK, and Secretary of State Kerry lives 3 doors down (his secret service patrol the alley below guest room).House is vacant most weekdays during work hours, and very quiet because off-street. My house is one half of a duplex, as the carriage house and horse stable were split in 1923 and made into separate residences. My sister and her family are next door; she will take care of you if I'm not around. Our family owns and rents other properties in the neighborhood, so we're very familiar with short term rental protocol, expectations and services.Metro/subway is in Dupont Circle or Rossyln, both about 10-15 minutes walk. A number of buses run through Georgetown, connecting it to all parts of the larger metro area (MD, VA). Multi-day parking in Georgetown requires some planning -- paid lots are nearby. I use street parking, which is permit only.The room itself contains a double bed, small corner desk, walk in closet and en suite bathroom. A double bed is comfy for one person, or a couple who are not very tall. I cannot accommodate third parties or children who require a separate bed; there isn't enough room. Thanks for your understanding.",38.907352,105,1,Private room,-77.066299
Real Bed,7,"Roomy, sunny, uncluttered and clean 5th floor studio apartment located near Adams Morgan, Columbia Heights and Mount Pleasant and Woodley Park neighborhoods. You will be staying in a safe, quiet, and leafy neighborhood in a building that is a block from the entrance to the Smithsonian National Zoo and Rock Creek Park (great for jogging, biking and hiking).The 42 bus (to Metro Center) is 3 blocks away and the Columbia Heights (Green/Yellow lines) and Woodley Park (Red Line) Metros are each a 10 minute walk from the apartment. Grocery stores, bars and restaurants as well as a Capital Bikeshare bike rental station are located just 2 blocks away! Amenities include high speed wireless internet, full kitchen, shower with bath, hardwood floors, air conditioner and heater, humidifier, and an audiophile stereo. The apartment is furnished with a bed, comfortable couch, coffee table, dining room table and chairs and has a lot of closet space. Bedding and towels are provided, as well as a large and very comfortable air mattress in case you need more sleeping space for extra guests. The building has laundry facilities downstairs and a beautiful roof deck overlooking the National Cathedral, the Zoo and Rock Creek Park to sip your morning coffee or have an evening drink! There is a 24-hour doorperson and street parking nearby and the apartment is located on the 5th floor of an elevator building.I am very flexible with check-in and check out times so just let me know what works best for you! Also, feel free to ask for bar, restaurant and other suggestions, I've lived in DC for most of my life and know the city very well.If you need parking, I will provide you with a temporary pass that you can use for street parking near the building.A NOTE: The bed and refrigerator that Steve Vosloo mentioned in his review have been replaced and the new bed is comfortable and problem-free, and the new refrigerator is very quiet!",38.92574326338489,65,1,Entire home/flat,-77.04430700842252
Real Bed,1,"> Check 'My Other Listings' for more options and availability <..............................................................................................................SPECIAL RATE FROM $99*/night (to fill gaps on calendar during weekdays or last minute bookings)*original price at $129/night``````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````Great Studio in the heart of Dupont Circle. Just walking distance to the metro, fine dinning, nightlife, theatre and shopping. The apartment homes have much character starting with its beautiful and original hardwood floors.The apartment is fully furnished with kitchen appliances, queen bed with comfortable pillows, a full bathroom with shower/bath, closet with hangers and fresh linens and towels!**SELF CHECK IN**You can arrive between 12pm and 4pm to drop your bags only. Please plan to check-in after 4pm and be ready to check-out before 12pm. There is no need for handling the keys in person you'll get a password to access the apartment!!! **AMENITIES** - Location! - Walk to everything you will need during your stay. - Red Line Metro steps away- Basic kitchen appliances- TV- Cable- DVD- Refrigerator- Microwave- Toaster- Bodum Press- High speed internet and WIFI- Full bath with tub - Iron and ironing board - Blow dryer - AC-Wash/Dryer (in building)Ps.: Personal hygiene products you must bring your own such as shampoo, conditioning, body wash, lotions, etc.**PARKING**- For parking please see ""house rules""The price is low due to few reviews. Let's say it's an introductory rate and definitely a good opportunity for you to save money staying in the best location while helping me to build up references.No smoking, heavy partying or pets are permitted.In downtown DC, Dupont Circle couldn't be a better place to enjoy the city by day and night, just steps (0.3 mile/7min) from the north entrance of the Dupont Circle Metro Station on red line. Access and transportation is privileged with several Zipcars parking lots, Capital Bikeshare just across the street, Buses and highway access on Connecticut Ave. The apartment building is located one building off of trendy 17th Street which is filled with restaurants, bars, Convenience Store, supermarket, two liquor stores, dry cleaner, yogurt places, nail salon. From the apartment you could walk to the White House (1.2mi/30min), to the U-Street area (0.4mi/8min), Adams Morgan (0.6mi/14min) or 14th Street (0.4mi/8min). It would be appreciated if you could do one of the following before booking: Link your Airbnb profile to a social network such as(website hidden)or (website hidden); verify your phone number; or complete your Airbnb profile. Thanks !",38.912357824520754,110,1,Entire home/flat,-77.03876079112972
Real Bed,1,"This guest room is located on our second floor in our Federal Home in Capitol Hill East DC. It is very spacious for a city home and hosts a queen sized bed with memory foam (it's like sleeping on marshmallows). The bathroom is shared with us.Located a 10 minute walk or 4 blocks to the metro (Stadium Armory metro on the blue and orange line) and 1/2 block to D6 bus service which takes you downtown and to Dupont Circle. We are located in Capitol Hill East, a multicultural and residential neighborhood. It is a 2 mile walk or a short bus or metro ride to the Capitol Building and National Mall, where all the Smithsonian museums and monuments are located. We are also a 15 walk to an area of the city called H Street which has a variety of restaurants, bars and nightlife. We provide sheets and towels. Private parking can be included (for free) please contact us for further details. Feel free to contact us with any questions!",38.89525943379528,56,1,Private room,-76.9793123561003
Real Bed,1,"Welcome to Washington, D.C! We would love for you to make yourself at home in our beautiful and cozy Capitol Hill row house. Fabulous location: Our row house is located on Capitol Hill/H Street Corridor. It is a 15-minute walk from Union Station, walking distance to restaurants and bars along the new and hip H Street Corridor. It is also a nice walk to the Capitol and Eastern Market. There is plenty of street parking in the neighborhood. We also have two bus lines that run a block away from our house. One takes you all the way down to the White House and passes by the hip Chinatown area. The other one takes you directly to U Street and Adams Morgan area. Features of the home:• The private bedroom has a comfy queen size bed• Cozy and comfortable living room• Spacious Kitchen: Gas stove, granite counter tops, dishwasher and large dining room table.• 1.5 bathrooms. Full bathroom is upstairs and half bathroom is on the first floor.• Wireless Internet, Central A/C and Heating.• Fresh Linens and towels are provided.We are also available to help you out with your travels and can provide advice on places to eat and things to do.Happy travels!",38.899101,65,1,Private room,-76.995285
Real Bed,2,"An architect-designed rowhouse downtown... Walk to Pennsylvania Avenue & city life...""Downtown"" is our 19th century Victorian brownstone home with three bedrooms that can be rented separately or together. This is our listing for individual rooms; check out the ""District Rowhouse"" listing for booking the entire place. Our guests enjoy using the chef's kitchen and say the architects who introduced modern conveniences into the house left it feeling like an art gallery. We are located three small blocks from the DC convention center and Yellow/Green Metro lines, within easy walking distance to museums, coffee shops, farmer's markets, and dining at the National Mall, Penn Quarter, Dupont Circle, and U Street nightlife district. Plentiful street parking surrounds our block. Just let us know if you will need a visitor's parking permit.All of the bedrooms are situated upstairs. When we are at home, our guest bedroom is situated at the back of the house where it's very quiet, with access to its own bathroom. There's also an additional half guest bathroom on the first floor.Within a few blocks are some of DC's best local establishments. CityMarket at O opens across the street this fall with a huge grocery market. We're also walking distance to many of DC's most celebrated local favorites: Big Bear coffee, Table, Seasonal Pantry, Busboys and Poets, Sundevich, Corduroy, Rogue 24, Red Hen, Le Diplomate, Kushi, Columbia Room. If you're feeling more off-the beaten track ethnic options, Thai X-ing, Ethiopian at Etete and Sumah's Carryout for Sierra Leonian cuisine don't dissappoint. Mockingbird Hill, Shaw's Tavern, and Red Toque Cafe round out the options. For really off the beaten track, like the taco speakeasy hidden in a local family's apartment a bit further afield, you'll have to ask.We ask that guests kindly send us an introduction through AirBnB's ""contact us"" link before proceeding to book. We love to meet and share favorite spots with fellow travelers whenever possible and always look to host responsible guests.Pricing is based on $125/room. Each room sleeps two. If you need more than one room though, we recommend checking out our other ""District Rowhouse"" listing for booking the whole house which is often a better deal when available.",38.90889336814496,82,3,Private room,-77.02080057438673
Real Bed,1,"Big 1 BD in safe neighborhood that's perfect for tourists looking to explore. 10-minute walk to the Dupont Cirlce subway and Georgetown, 20 minutes to U Street and Adams Morgan and 30 to the White House! 24/7 front desk, roof terrace with a view of Washington Monument.",38.91108157012351,78,1,Entire home/flat,-77.05326360720595
Sofa,1,"I'll share apartment with you!It's a 1 bedroom apartment with a large living room. I have a large comfortable couch in and L shape with a large ottoman (purchased for it's sleepabilty ;) ). I also have a full sized air mattress that fits comfortably in the living room.I live about 4-5 blocks from the National Mall and about 8 Blocks from the White House. So most of the major attraction that people want to see are within walking distance. If you prefer Metro, we're about 3 blocks from the Foggy Bottom Metro station that can take you pretty much anywhere you want to go.There are several markets near by including Whole Food, Trader Joe's and a small market in the apartment complex. As well as 2 CVS Pharmacy stores.The apartment is occupied by my toothless cat named Candy. Depending on when you come, I may or may not be staying there as well. Amenities: Cable Internet Netflix Pandora Wii Gym Laundry (across the hall)",38.8988309926664,42,1,Shared room,-77.05039473435139
Futon,1,"Come stay in the guest room of our gorgeous 2 bedroom, 1 bath, 1050 sq ft Columbia Heights rowhouse. 5 blocks from U St nightlife and all the fine cuisine of 14th St, this is the perfect location for your DC stay. Your modern bedroom/study is equipped with a full futon, desk, dresser, and A/C. The apartment has its own private backyard as well as ample street parking and is right across from Girard St. Park and Meridian Hill Park. The bedroom, kitchen, and living spaces are fully furnished, and feature an Apple TV, Wifi, Netflix, and HBO GO, all available for your use during your time at the apartment. Stay with us and walk out the door into some of the most fun, diverse, and vibrant parts of DC. The metro is three blocks away, a Capital Bike-Share 1.5 blocks, and the 16th/14th street bus lines run on either side of the apartment. The yellow metro line comes straight from Reagan National Airport to the Columbia Heights stop, so no need to spend money on a cab. Target, Marshalls, and the Columbia Heights complex are two blocks north in case you forget anything, but towels and bathroom items are provided during your stay.In the other bedroom, you will find a couple in our mid-twenties with our corgi puppy. We work long hours, but usually cook dinner around 8 PM and would love to learn more about you. Upon arrival, we'll give you a sense of when we will be home, and while we are happy to interact as little or much as you'll have time for, we are definitely available to chat about bars, restaurants, museums, art galleries or anything else you're curious about. We'd love to meet you and help enhance your time in DC, so please let us know if you are interested in coming into our home!",38.92303990047349,45,1,Private room,-77.03286618725576
Real Bed,1,"Better Than a Hotel RoomLovely high-ceilinged bedroom with queen-sized bed, shared 1.5 baths in three-story rowhouse in perfect historical neighborhood just steps from Whole Foods supermarket, and surrounded by the city's best gyms, restaurants, yoga, theaters, shops, bars, dry cleaners, banks, and parks. Fantastic NeighborhoodEnjoy one of the loveliest, safest, most convenient, and vibrant neighborhoods in Washington. Perfectly convenient location for business trip or vacation: enjoy the city without ever having to worry about driving or parking.Rated by Walkscore as a walkers', public transport, and bikers' ""paradise"" (the highest rating on all three).Convenient to All Transport and to SightsEasy walk to White House (20 min), K Street (10 min), U Street (10 min), Adams Morgan (25 min), World Bank (20 min), National Mall, monuments, and museums (30 min), embassies, parks. 10 minute walk to Dupont Metro. S1/S2/S3, G2, 52/53 buses all one block away. Capital Bikeshare station right across the street. Reagan airport (DCA) 10 minutes by cab, 30 minutes by metro. Dulles (IAD) 45 minutes by cab or shuttle. BWI airport about 50 minutes drive.Great Amenities, Good Company, Plus a CatIn addition to your private room, you will have access to the rest of this lovely home (excepting the master bedroom). The owner, a local pediatrician, travels frequently and may not be home during your stay, but Max the cat probably will be. You will have access to living room with TV/Netflix/iTunes, wifi, deck, new kitchen, fireplace, and washer/dryer. A real home away from home.",38.90965330624522,98,1,Private room,-77.03405458673652
Real Bed,1,"You will love staying in the heart of Downtown DC! Modern condo steps away from restaurants, shopping, clubs/bars and Chinatown. You also have the option of two metro stations within walking distance. Plenty of amenities. 2+ people can stay!",38.900637194381915,78,1,Entire home/flat,-77.02277960492879
Real Bed,1,"I think the pictures do a great job in giving you a sense of what you get in this apartment, so I will not attempt to describe it. I can tell you a bit more about where you'll be - Capitol Hill/H Street Area. Located adjacent to the building, there's a metro bus stop where you can hop on and be on your way to Union Market, U Street, and Adams Morgan, or Eastern Market going the other way. One block away there's a bike share station where you can rent bikes by the hour or the day. Three blocks away you have H Street with all of its restaurants, coffee shops, bars, and clubs. You can take the X2 to the White House by way of Chinatown, or take the red line metro or the Circulator from Union Station (only 8 blocks away). The Capitol is about a 15-20 minute walk, and much more. Feel free to ask for any additional information.",38.89563,52,1,Private room,-76.996284
Real Bed,1,"Hosting with Airbnb has been one of the best decisions I ever made. I will do my best to make your decision to be my guest a great experience as well. I provide a Cozy Basement bedroom with a new bathroom, microwave and small refrigerator. There is a Nice 42 inch TV, free WiFi and new sofa and bed set.The space has a full bed, small work desk, clothes rack, large living area with a couch, a nice dining table with 2 chairs, Large floor mirror and there is a Private bathroom with shower. Optional separate entrance. Morning SnacksFull bathroom with shower Hair DryerFull Size Double BedAlarm Clock Bed Table and Lamp Large Six Drawer Dresser and LampFully loaded kitchen with gas stove Dinning area with table and 2 chairs Large Floor MirrorLarge couch in living area + l large chairIron + Laundry room +Bed linens and towelsWiFi Included Optional Parking Space in Rear of building(additional fee)No SmokingYou can share the main kitchen with everything you need if we make arrangements. Laundry in the basement is also shared with the other house occupants.Great opportunity to live with native Washingtonians in a friendly and quiet neighborhood. Close to Fort Totten Metro Station. One half mile walk. Off Street Parking is available. This is a great option for travelers to DC who don't want to break the bank for a hotel but still want private accommodations. The neighborhood is quiet and historical with important sites in the heart of Brookland and America's largest Bascilica at Catholic University. Access to the most popular tourists sites in DC can be done via the bus steps away. The Ft. Totten Metro Station is a half mile away. Grocery store is a 20 min walk (Giant). Located down the block from a park and within walking distance (and well serviced by a number of bus routes) of Fort Totten metro station on the red line which connects in 4 stops to Union station, the mall and all the sights of downtown DC. There are a couple of nearby restaurants (some deliver) and gas stations. Plenty of unrestricted street parking so you can leave your car all day and take advantage of DC’s metro system. The apartment has its own private entrance at the rear of the property and is completely separate from the main house. The house residents work every day and will be out of your way most of the time. But I look forward to meeting you, sharing travel stories and hearing about where you are from and what you are looking to experience while you are in DC. Please note: We have 1 gorgeous dog that lives in the main part of the house and although they don’t have access to the apartment, it may not be suitable for folks with strong allergies.",38.95096130205191,41,1,Private room,-76.99148661258647
Pull-out Sofa,1,"This bright and spacious shared space is located in North Columbia Heights within easy (12 minutes) walking distance to both Columbia Heights and Georgia Ave-Petworth Metro Stations. A variety of unique eateries, coffee shops, bars and retail stores are also in walking distance around the neighborhood. The apartment is also in close proximity to Mt. Pleasant (quaint little neighborhood) as well as Adams Morgan (eclectic bar neighborhood) and a bike or bus ride away from U Street Corridor, Dupont and Logan Circles, Chinatown, Penn Quarter and the National Mall and Monuments! The apartment complex has a bus stop right out front for the 52/53/54 buses (WMATA) or a 5 minute walk over to 16th Street will take you to the S2/S4/S9 buses. A Capital Bikeshare station is right out front and there are plenty of cars to rent in the area, including my own ""Colby"" from RelayRides.Guests have free-reign of the common areas during their stay that includes:- living room with 47"" flatscreen TV, AppleTV and Roku devices- large bathroom with great water pressure- kitchen with gas stove and other appliances- dining area with full dining table and chairs- balcony with views of Rock Creek Park- tea and light snacks are always available to guestsThe apartment is literally right next to Rock Creek Park (balcony overlooks the park) where you can go hiking, biking, or just enjoy and outdoor oasis in the middle of DC.The sleeping arrangements include a full-size pull-out sofa that is very comfortable and comfortably accommodates 2 adults. There is an additional cot for a third adult if needed.Please note that the prices listed on the calendar are for the shared space and I will also be staying in the apartment in the private bedroom. This has worked well with past guests and there has never been an issue. Also, there is little bundle of fur also living in the apartment. His name is Goober and he's a very friendly, polite cat that will be kept in my private bedroom unless guests would like a visitor.There is also a $100 security deposit that is refunded after all keys have been returned and the apartment is left how it was found! Late check-outs are on a case-by-case basis and must be agreed upon during arrival. A fee will be added for any check-out after two hours unless otherwise agreed upon.The neighborhood bars and eateries include a number of Mom and Pop places, The Heights Restaurant, The Getaway, Lou's Sports Bar, Acre 121, Radius Pizza, Tonic, Wonderland Ballroom, Meridian Pint, RedRocks, and many more!Retail shops include Target, Best Buy, Bed Bath & Beyond, Marshall's, DSW, CVS, Giant Grocery, Staples, and a number of others.Personally, I have lived in DC for almost 4 years now and travel around the city for my job so am very familiar with almost every area of the city. I have a flexible schedule and work from home occasionally and can help show visitors around if interested. I also have a travel agency (Capital Travel and Events) if you need assistance with transportation or other travel requests.Living in the Nation's Capital one can forget to stop and take in the sights from time to time, so I love offering up places to visit and showing people around the city! My hope is that you will enjoy not only your stay in my apartment but also in the city I call home.LGBT Friendly!",38.93815259083476,32,1,Shared room,-77.03390517654924
Real Bed,1,"We live in a two bedroom. Your private room has a full-size bed suitable for up to two people. If you have additional guests, we may be willing to accommodate additional visitors on a futon in the living room. The room is located in Chinatown Mt. Vernon neighborhood. Chinatown is a culturally diverse community with lots of restaurants, nightclubs, coffee houses, bars, art galleries (including the National Portrait Gallery). The building is a 10 minute walk to the National Mall and most of the Smithsonian Museums, and across the street from a 24 hour grocery store. If you need to get to a different part of the city almost every bus and or train can take you. We are one block from the yellow/green line metro and 5 blocks from the red line. We are one block away from the Convention Center, so this location can't be beat for convention go-ers!Two friendly yet aloof cats share this residence, so if you are allergic to cats then this is not the place for you (unless suffering and misery are your idea of a wonderful vacation). All guests have access to the kitchen--including use any of our pots, pans, and over 40 different spices--as well as common spaces. We have wifi and in-unit laundry that you can use for free. The bathroom is shared with us.Our schedules are pretty typical of most DCers: we work long days (usually gone 8am-8pm Monday - Friday) and like to socialize on weekends, so we may not be around that often during your stay. We are open to answer any questions and give pointers on favorite places. We hope that you are requesting to stay with us because you want to explore the city and get to know the community, not just to have a cheap place to stay. Off-street parking also available for one car.",38.905527688333756,62,1,Private room,-77.02030920260745
